Echantillon,Prix_Mois,Nombre_Pieces,Superficie_Pied2,Superficie_M2,Quartier 
1,590.00,1,300,27.87,Quartier Saint-Paul/Émard
2,650.00,3,1050,97.55,Anjou
3,680.00,1,600,55.74,Côte-des-Neiges/Notre-Dame-de-Grâce
4,725.00,3,750,69.68,saint-Léonard
5,900.00,3,595,55.28,Ahuntsic-Cartierville
6,900.00,6,750,69.68,Mercier/Hochelaga-Maisonneuve
7,990.00,5,785,72.93,Mercier/Hochelaga-Maisonneuve
8,1000.00,4,750,69.68,Ahuntsic-Cartierville
9,1000.00,4,550,51.10,Côte-des-Neiges/Notre-Dame-de-Grâce
10,1100.00,4,890,82.68,Outremont
11,1100.00,5,1125,104.52,Ahuntsic-Cartierville
12,1100.00,4,800,74.32,Côte-des-Neiges/Notre-Dame-de-Grâce
13,1100.00,7,1111,103.22,Sainte-Geneviève
14,1140.00,5,550,51.10,Côte-des-Neiges/Notre-Dame-de-Grâce
15,1175.00,4,591,54.91,Mercier/Hochelaga-Maisonneuve
16,1195.00,5,550,51.10,Côte-des-Neiges/Notre-Dame-de-Grâce
17,1200.00,8,1050,97.55,Pointe-aux-Trembles
18,1200.00,3,395,36.70,Ville-Marie
19,1200.00,6,761,70.70,Sainte-Geneviève
20,1200.00,6,723,67.17,Saint-Laurent
21,1200.00,4,592,55.00,LaSalle
22,1200.00,5,925,85.94,Saint-Laurent
23,1225.00,5,550,51.10,Côte-des-Neiges/Notre-Dame-de-Grâce
24,1250.00,5,492,45.71,Ahuntsic-Cartierville
25,1250.00,6,1100,102.19,Côte-des-Neiges/Notre-Dame-de-Grâce
26,1250.00,5,475,44.13,Saint-Laurent
27,1250.00,4,2222,206.43,Verdun
28,1250.00,6,546,50.73,Ahuntsic-Cartierville
29,1290.00,3,480,44.59,Saint-Henry/Petite Bourgogne
30,1300.00,2,537,49.89,Ville-Marie
31,1300.00,5,1146,106.47,Villeray
32,1300.00,6,600,55.74,Montréal-Nord
33,1300.00,5,1011,93.92,Pierrefonds-Roxboro
34,1300.00,7,903,83.89,Mercier/Hochelaga-Maisonneuve
35,1300.00,4,500,46.45,Villeray
36,1305.00,5,655,60.85,Côte-des-Neiges/Notre-Dame-de-Grâce
37,1350.00,4,716,66.52,Saint-Paul/Émard
38,1350.00,6,743,69.03,Pointes-aux-Trembles
39,1350.00,4,900,83.61,Saint-Laurent
40,1350.00,8,1287,119.57,Saint-Laurent
41,1350.00,5,685,63.64,Saint-Laurent
42,1350.00,4,800,74.32,Vieux-Montréal
43,1350.00,2,430,39.95,Saint-Paul/Émard
44,1350.00,7,1000,92.90,Verdun
45,1350.00,5,800,74.32,Verdun
46,1350.00,4,526,48.87,Ville-Marie
47,1350.00,3,378,35.12,Ville-Marie
48,1350.00,4,800,74.32,Ville-Marie
49,1370.00,2,660,61.32,Côte-des-Neiges/Notre-Dame-de-Grâce
50,1375.00,5,690,64.10,Côte-des-Neiges/Notre-Dame-de-Grâce
51,1375.00,7,529,49.15,Côte-des-Neiges/Notre-Dame-de-Grâce
52,1375.00,4,615,57.14,Saint-Laurent
53,1377.00,3,700,65.03,Côte-des-Neiges/Notre-Dame-de-Grâce
54,1395.00,5,700,65.03,Côte-des-Neiges/Notre-Dame-de-Grâce
55,1400.00,5,705,65.50,Côte-des-Neiges/Notre-Dame-de-Grâce
56,1400.00,3,700,65.03,Outremont
57,1400.00,5,397,36.88,Ville-Marie
58,1400.00,5,779,72.37,Mercier/Hochelaga-Maisonneuve
59,1400.00,8,1090,101.26,Mercier/Hochelaga-Maisonneuve
60,1400.00,8,1035,96.15,L'île-Bizard
61,1400.00,6,790,73.39,Lachine
62,1400.00,5,705,65.50,Côte-des-Neiges/Notre-Dame-de-Grâce
63,1400.00,4,416,38.65,Ville-Marie
64,1400.00,4,615,57.14,Saint-Laurent
65,1400.00,4,750,69.68,Saint-Henry/Petite Bourgogne
66,1400.00,6,862,80.08,LaSalle
67,1407.00,3,800,74.32,Côte-des-Neiges/Notre-Dame-de-Grâce
68,1435.00,6,1100,102.19,Lachine
69,1445.00,3,750,69.68,Ville-Marie
70,1450.00,5,1050,97.55,plateau-Mont-Royal
71,1450.00,5,882,81.94,Ville-Marie
72,1450.00,3,500,46.45,Ville-Marie
73,1450.00,2,450,41.81,plateau-Mont-Royal
74,1450.00,4,800,74.32,Pointe-Saint-Charles
75,1480.00,3,379,35.21,Ville-Marie
76,1495.00,6,850,78.97,Ville-Marie
77,1500.00,5,858,79.71,Ville-Marie
78,1500.00,6,797,74.04,LaSalle
79,1500.00,3,620,57.60,sud-Ouest
80,1525.00,4,475,44.13,Ville-Marie
81,1550.00,6,796,73.95,verdun
82,1550.00,4,606,56.30,Ville-Marie
83,1570.00,5,700,65.03,Côte-des-Neiges/Notre-Dame-de-Grâce
84,1590.00,4,786,73.02,Ville-Marie
85,1600.00,7,1189,110.46,Saint-Laurent
86,1600.00,4,825,76.64,verdun
87,1600.00,3,550,51.10,Ville-Marie
88,1625.00,5,800,74.32,verdun
89,1650.00,3,663,61.59,sud-Ouest
90,1650.00,6,517,48.03,sud-Ouest
91,1650.00,4,722,67.08,sud-Ouest
92,1650.00,3,499,46.36,sud-Ouest
93,1667.00,4,606,56.30,sud-Ouest
94,1690.00,5,790,73.39,LaSalle
95,1700.00,5,648,60.20,Ville-Marie
96,1700.00,5,900,83.61,mont-royal
97,1725.00,1,650,60.39,Ville-Marie
98,1750.00,4,750,69.68,sud-Ouest
99,1750.00,7,780,72.46,Côte-des-Neiges/Notre-Dame-de-Grâce
100,1750.00,3,538,49.98,Ville-Marie
101,1795.00,7,1200,111.48,Ville-Marie
102,1800.00,5,573,53.23,Ville-Marie
103,1800.00,5,554,51.47,Ville-Marie
104,1800.00,5,785,72.93,mont-royal
105,1800.00,5,1800,167.23, Mercier/Hochelaga-Maisonneuve
106,1800.00,5,800,74.32,Ville-Marie
107,1800.00,7,1034,96.06,sud-Ouest
108,1850.00,5,950,88.26,mont-royal
109,1850.00,6,1045,97.08,Côte-des-Neiges/Notre-Dame-de-Grâce
110,1850.00,4,800,74.32,sud-Ouest
111,1850.00,5,800,74.32,plateau-Mont-Royal
112,1850.00,5,874,81.20,Ville-Marie
113,1850.00,5,735,68.28,Ville-Marie
114,1895.00,7,946,87.89,Ville-Marie
115,1900.00,6,1200,111.48,westmount
116,1900.00,7,950,88.26,Côte-des-Neiges/Notre-Dame-de-Grâce
117,1900.00,7,1207,112.13,Saint-Laurent
118,1905.00,4,473,43.94,Ville-Marie
119,1950.00,5,950,88.26,plateau-Mont-Royal
120,1950.00,5,900,83.61,sud-Ouest
121,1950.00,5,603,56.02,sud-Ouest
122,1975.00,6,1155,107.30,Saint-Laurent
123,1990.00,5,547,50.82,Ville-Marie
124,1995.00,4,862,80.08,Outremont
125,2000.00,5,871,80.92,Ville-Marie
126,2000.00,2,1005,93.37,Ville-Marie
127,2000.00,4,650,60.39,Ville-Marie
128,2000.00,5,1178,109.44,Ville-Marie
129,2000.00,4,750,69.68,Ville-Marie
130,2050.00,6,1000,92.90,plateau-Mont-Royal
131,2060.00,7,940,87.33,Côte-des-Neiges/Notre-Dame-de-Grâce
132,2100.00,5,670,62.25,Ville-Marie
133,2100.00,4,560,52.03,Ville-Marie
134,2100.00,6,826,76.74,Ville-Marie
135,2100.00,4,750,69.68,Ville-Marie
136,2120.00,6,950,88.26,Côte-des-Neiges/Notre-Dame-de-Grâce
137,2150.00,6,994,92.35,verdun
138,2160.00,7,965,89.65,Côte-des-Neiges/Notre-Dame-de-Grâce
139,2195.00,6,1051,97.64,Côte-des-Neiges/Notre-Dame-de-Grâce
140,2200.00,6,1630,151.43,Côte-des-Neiges/Notre-Dame-de-Grâce
141,2200.00,5,712,66.15,Ville-Marie
142,2200.00,6,1067,99.13,sud-Ouest
143,2200.00,6,1050,97.55,plateau-Mont-Royal
144,2200.00,7,1492,138.61,Côte-des-Neiges/Notre-Dame-de-Grâce
145,2220.00,4,500,46.45,Ville-Marie
146,2250.00,5,530,49.24,Ville-Marie
147,2275.00,5,1235,114.74,Outremont
148,2295.00,3,600,55.74,sud-Ouest
149,2300.00,4,1207,112.13,Ville-Marie
150,2300.00,6,1091,101.36,verdun
151,2300.00,6,1298,120.59,Outremont
152,2300.00,5,769,71.44,sud-Ouest
153,2350.00,7,1275,118.45,plateau-Mont-Royal
154,2390.00,5,1086,100.89,plateau-Mont-Royal
155,2400.00,3,870,80.83,Ville-Marie
156,2400.00,4,894,83.06,sud-Ouest
157,2400.00,7,1320,122.63,plateau-Mont-Royal
158,2400.00,9,1600,148.64,mont-royal
159,2450.00,5,875,81.29,Ville-Marie
160,2455.00,5,900,83.61,Ville-Marie
161,2495.00,4,830,77.11,Ville-Marie
162,2500.00,4,650,60.39,Ville-Marie
163,2500.00,5,792,73.58,sud-Ouest
164,2500.00,8,1780,165.37,Côte-des-Neiges/Notre-Dame-de-Grâce
165,2500.00,9,1075,99.87,mont-royal
166,2500.00,7,1424,132.29,rosemont/la-petite-patrie
167,2500.00,8,1083,100.61,Côte-des-Neiges/Notre-Dame-de-Grâce
168,2500.00,4,650,60.39,Ville-Marie
169,2550.00,6,850,78.97,plateau-Mont-Royal
170,2580.00,3,540,50.17,Ville-Marie
171,2600.00,7,1400,130.06,Côte-des-Neiges/Notre-Dame-de-Grâce
172,2600.00,8,1235,114.74,Saint-Laurent
173,2610.00,4,650,60.39,Ville-Marie
174,2650.00,7,1463,135.92,Ville-Marie
175,2700.00,6,705,65.50,Ville-Marie
176,2700.00,5,1238,115.01,Ville-Marie
177,2750.00,6,950,88.26,plateau-Mont-Royal
178,2750.00,4,484,44.97,Ville-Marie
179,2800.00,6,890,82.68,Ville-Marie
180,2800.00,5,1100,102.19,plateau-Mont-Royal
181,2800.00,7,1300,120.77,Côte-des-Neiges/Notre-Dame-de-Grâce
182,2850.00,12,1800,167.23,rosemont/la-petite-patrie
183,2900.00,7,1640,152.36,plateau-Mont-Royal
184,2950.00,6,1506,139.91,verdun
185,2980.00,7,1623,150.78,westmount
186,3000.00,4,1059,98.38,plateau-Mont-Royal
187,3000.00,4,806,74.88,Ville-Marie
188,3000.00,11,2200,204.39,Saint-Laurent
189,3100.00,6,1600,148.64,plateau-Mont-Royal
190,3120.00,4,695,64.57,Ville-Marie
191,3120.00,2,753,69.96,Ville-Marie
192,3200.00,5,1406,130.62,Côte-des-Neiges/Notre-Dame-de-Grâce
193,3200.00,7,1038,96.43,Ville-Marie
194,3285.00,6,1426,132.48,Saint-Laurent
195,3300.00,6,955,88.72,plateau-Mont-Royal
196,3444.00,4,1275,118.45,sud-Ouest
197,3500.00,9,1573,146.14,Ville-Marie
198,3500.00,4,1148,106.65,Ville-Marie
199,3600.00,9,1150,106.84,Ville-Marie
200,3750.00,5,635,58.99,sud-Ouest
201,3800.00,5,1314,122.07,verdun
202,3910.00,4,750,69.68,Ville-Marie
203,3910.00,2,700,65.03,Ville-Marie
204,3950.00,8,1152,107.02,ville-marie
205,4000.00,4,1185,110.09,sud-ouest
206,4100.00,5,1559,144.84,ville-marie
207,4250.00,5,1389,129.04,ville-marie
208,4320.00,5,1020,94.76,ville-marie
209,4500.00,9,1300,120.77,ville-marie
210,4500.00,2,900,83.61,ville-marie
211,4750.00,7,1212,112.60,ville-marie
212,4950.00,4,1076,99.96,ville-marie
213,4980.00,5,1076,99.96,ville-marie
214,5000.00,7,1426,132.48,ville-marie
215,5100.00,8,1755,163.04,outremont
216,5200.00,6,1615,150.04,sud-ouest
217,5500.00,8,1376,127.83,ville-marie
218,5950.00,12,2164,201.04,sud-ouest
219,6300.00,6,1390,129.14,Westmount
220,6900.00,8,1544,143.44,ville-marie
221,7900.00,8,3738,347.27,outremont
222,10500.00,10,2797,259.85,ville-marie
223,25000.00,14,3500,325.16,ville-marie
,,,,,
